date,Open,High,Low,Close,Volume,MarketCap
2017-04-22,1222.71,1235.56,1208.47,1231.71,249320000,20062753908
2017-04-23,1231.92,1232.2,1203.94,1207.21,258951008,19665994145
2017-04-24,1209.63,1250.94,1209.63,1250.15,235806000,20367443800
2017-04-25,1250.45,1267.58,1249.97,1265.49,242556000,20619704237
2017-04-26,1265.99,1294.83,1265.93,1281.08,329631008,20876159410
2017-04-27,1281.88,1319.7,1281.3,1317.73,449196992,21475836448
2017-04-28,1317.74,1331.28,1292.37,1316.48,527488992,21457669552
2017-04-29,1317.84,1327.2,1315.21,1321.79,422705984,21547126640
2017-04-30,1321.87,1347.91,1314.92,1347.89,413115008,21975104909
2017-05-01,1348.3,1434.32,1348.3,1421.6,713624000,23179524919
2017-05-02,1421.03,1473.9,1415.69,1452.82,477337984,23691443738
2017-05-03,1453.78,1492.77,1447.49,1490.09,583795968,24301634925
2017-05-04,1490.72,1608.91,1490.72,1537.67,933548992,25080858487
2017-05-05,1540.87,1618.03,1530.31,1555.45,946035968,25373374563
2017-05-06,1556.81,1578.8,1542.5,1578.8,582529984,25757608890
2017-05-07,1579.47,1596.72,1559.76,1596.71,1080029952,26053077975
2017-05-08,1596.92,1723.35,1596.92,1723.35,1340320000,28123369330
2017-05-09,1723.89,1833.49,1716.3,1755.36,1167920000,28649119972
2017-05-10,1756.52,1788.44,1719.1,1787.13,915723008,29170965564
2017-05-11,1780.37,1873.93,1755.35,1848.57,799489984,30176934751
2017-05-12,1845.76,1856.15,1694.01,1724.24,740984000,28150631936
2017-05-13,1723.12,1812.99,1651.08,1804.91,579635008,29471223857
2017-05-14,1800.86,1831.42,1776.62,1808.91,437196000,29540290794
2017-05-15,1808.44,1812.8,1708.54,1738.43,731529024,28392885375
2017-05-16,1741.7,1785.94,1686.54,1734.45,959044992,28330874003
2017-05-17,1726.73,1864.05,1661.91,1839.09,1064729984,30043626195
2017-05-18,1818.7,1904.48,1807.12,1888.65,894321024,30856574835
2017-05-19,1897.37,2004.52,1890.25,1987.71,1157289984,32479082015
2017-05-20,1984.24,2084.73,1974.92,2084.73,961336000,34068630559
2017-05-21,2067.03,2119.08,2037.5,2041.2,1147859968,33361091114
2017-05-22,2043.19,2303.9,2017.87,2173.4,1942220032,35525744380
